# ['Data file recorded 2013/1/18  16:30:9']
# ['%  keyboard_telem with hall effect ']
# ['%  motorgains    = [400, 0, 400, 0, 0, 400, 0, 400, 0, 0]\r\n%  delta         = [16384', ' 16384', ' 16384', ' 16384]"']
# ['%  intervals     = [128, 128, 128, 128]']
# ['% Columns: ']
# ['% time | Rlegs | Llegs | DCR | DCL | GyroX | GryoY | GryoZ | GryoZAvg | AX | AY | AZ | RBEMF | LBEMF | VBAT ']
203   3.00   2.92  -146   559    96  -225  -131    11  3653  -628    16    89    64   935  
206   3.13   3.02  -171   521   125  -372    22    12  4102  -108   715    85    62   933  
210   3.23   3.11   -83   481   125  -372    22    12  4102  -108   715    78    60   933  
213   3.32   3.21   279   644   125  -372    22    13  4102  -108   715    60    50   934  
220   3.43   3.45   632  -135   150   -80   -12    12  2431  -865  1660    42    72   933  
223   3.48   3.57   944  -321   -20  -598  -206     6  3924  -1085  2131    28    75   932  
226   3.53   3.69   733  -206   -20  -598  -206     0  3924  -1085  2131    35    66   931  
230   3.55   3.79  1041   -99   -57    74   -26    -1  2677  -633  1389    22    58   929  
233   3.57   3.88  1153   -62   -57    74   -26    -1  2677  -633  1389    17    53   929  
236   3.59   3.98  -832  -2247   -57    74   -26     0  2677  -633  1389    19    60   918  
240   3.62   4.00  -421  -1362    13   277    63     3  3293  -666  1484     2    24   915  
243   3.57   4.00    10  -381    13   277    63     6  3293  -666  1484   -13   -15   932  
246   3.52   3.98   522  -321   118   573   279    17  4525  -338  2335   -31   -16   938  
250   3.47   3.98   604  -437   118   573   279    20  4525  -338  2335   -32   -11   934  
253   3.43   3.98   633  -604   118   573   279    24  4525  -338  2335   -31    -4   929  
256   3.40   3.98   194  -697   -27  1356    12    18  2810  -1161  -146   -12     0   934  
260   3.38   3.98   178  -810   -27  1356    12    11  2810  -1161  -146   -10     5   932  
263   3.35   3.98   237  -755  -333   -49  -315    -5  2681  -487  -492   -11     3   934  
266   3.35   3.98   345  -617  -333   -49  -315   -16  2681  -487  -492   -15    -2   932  
270   3.35   3.96   378  -410     9  -659  -297   -26  4171  -118   349   -16    -9   931  
273   3.35   3.98   138  -453     9  -659  -297   -32  4171  -118   349    -6    -8   935  
276   3.35   3.96  -151  -492     9  -659  -297   -38  4171  -118   349     6    -5   932  
280   3.35   3.96  -119  -710   133    13   253   -27  2685  -408   198     5     4   932  
283   3.33   3.96   214  -376   133    13   253   -17  2685  -408   198    -7    -9   933  
286   3.33   3.96   223  -665   145  -438   138   -11  3397  -485  1363    -7     3   934  
293   3.33   3.96   -58  -347   145  -438   138   -12  3397  -485  1363     5    -9   931  
296   3.33   3.96   103  -360   -53  -223   -30   -12  3046  -826  1702    -1    -8   933  
300   3.33   3.96   283  -458   -53  -223   -30   -12  3046  -826  1702    -6    -2   932  
303   3.33   3.96   148  -316  -210  -551   -45   -13  3538  -592  1493     5    -2   933  
